id,dateiso,entry
37,1977-02-09,reunion del Gobierno vasco en el exilio
38,1977-02-16,atentado sin victimas contra un coche de la policia en Las Palmas
39,1977-02-16,detencion de los presuntos miembros de ETA autores del atraco a la Caja de Ahorros de Alava
40,1977-02-18,preparativos para una nueva campana pro amnistia en el Pais Vasco
41,1977-02-26,comienzo de la semana pro amnistia en el Pais Vasco
42,1977-02-27,8 organizaciones politicas hacen un llamamiento a la huelga en el primer aniversario de las muerte de Vitoria
43,1977-02-27,comienza en el Pais Vasco la Semana pro amnistia con numerosos encierros en diversas zonas de Euskadi
44,1977-02-27,registradas numerosas acciones ante le celebracion del primer aniversario de las muertes de Vitoria
45,1977-03-01,52 encierros en 36 edificios municipales y 16 iglesias en San Sebastian en pro de la amnistia
46,1977-03-01,encierro pro amnistia total de unos 50 vecinos del barrio de San Blas
47,1977-03-01,encierros masivos pro amnistia en el Pais Vasco
48,1977-03-01,manifestacion popular pro amnistia en Pamplona
49,1977-03-03,"2,000 personas participan en una marcha pacifica a favor de la amnistia en San Sebastian"
50,1977-03-03,encierro de estudiantes vascos en Valladolid con motivo de la celebracion de la semana pro amnistia en Euskadi
51,1977-03-04,conmemoracion popular del aniversario de los sucesos de Vitoria
52,1977-03-04,encierro y huelga de hambre pro amnistia en Estudios Universitarios y Tecnicos de Guipuzcoa
53,1977-03-04,enfrentamientos entre la policia y manifestantes durante la conmemoracion del aniversario de los sucesos de Vitoria
54,1977-03-04,Paro general en diversos sectores durante la conmemoracion del aniversario de los sucesos de Vitoria
55,1977-03-04,protesta de los vecinos por el desalojo por la G.C. en un acto pro amnistia en una iglesia
56,1977-03-05,intensificacion de la campana pro amnistia en el Pais Vasco
57,1977-03-06,desalojo de un encierro pro amnistia de trabajadores vascos en Madrid
58,1977-03-06,emigrantes espanoles en Belgica piden la libertad de todos los presos politicos
59,1977-03-06,encierros y manifestacion pro amnistia en Navarra y el Pais Vasco
60,1977-03-08,celebracion de un acto por el PNV e intensificacion de las presentaciones de partidos nacionalistas
61,1977-03-09,2 supuestos miembros de ETA muertos en un tiroteo con la g.c.
62,1977-03-10,a Radio Popular de Bilbao anunciando un recrudecimiento de sus acciones
63,1977-03-11,"asistencia de 15,000 personas a los funerales de los presuntos miembros de ETA muertos en un tiroteo con la policia"
64,1977-03-11,detencion en Madrid de 12 miembros de la comision pro amnistia por participar en actos ilegales
65,1977-03-11,los familiares de los policias armados detenidos por su participacion en una manifestacion piden su amnistia
66,1977-03-11,violentos enfrentamientos entre la policia y manifestantes en protesta por la muerte de los do etarras
67,1977-03-12,convocatoria de partidos politicos vascos para la celebracion del Aberri Eguna
68,1977-03-12,duros enfrentamientos entre antidisturbios y manifestantes en protesta por la muerte de los dos etarras
69,1977-03-12,encierro en una iglesia de Moratalaz por considerar insuficientes las medidas respecto a la amnistia
70,1977-03-15,atentado que causo la muerte de un guardia civil (13 March)
71,1977-03-15,herido de bala por la policia durante una manifestacion pro amnistia en Barcelona
72,1977-03-15,un joven muerto por una bala de goma durante los disturbios ocurridos en San Sebastian
73,1977-03-16,ETA califica en un comunicado de 'primera respuesta y aviso' el atentado del dia 13 contra el g.c. en Mondragon
74,1977-03-18,manifestacion en Vitoria pro amnistia total
75,1977-03-19,el MPAIAC amenaza a industriales de Lanzarote
76,1977-03-20,encierro pro amnistia de trabajadores vascos en Barcelona
77,1977-03-20,manifestacion pro amnistia en Vitoria
78,1977-03-22,un joven muerto durante una manifestacion nacionalista
79,1977-03-23,celebracion de un homenaje al primer lehendakari en el 17* aniversario de su muerte
80,1977-03-24,6 partidos politicos gallegos hacen un llamamiento a otras formaciones pidiendo la defensa del interes regional
81,1977-03-25,6 presos vascos de Caceres se declaran en huelga de hambre por su exclusion de la amnistia
82,1977-03-25,calurosa acogida a los presos vascos amnistiados en sus respectivos pueblos
83,1977-03-29,violentos incidentes en Barcelona tras la celebracion de una manifestacion catalanista
84,1977-04-01,"emotivo recibimiento en Bilbao a Maite Arevalo, primera mujer puesta en libertad por la ampliacion de la amnistia"
85,1977-04-01,"las fuerzas politicas vascas preparan la jornada patriotica, Aberri Eguna, independentientemente del Gobierno"
86,1977-04-02,"2,000 personas recibieron a militantes de ETA, Bujanda y Montalvo, liberados por el decreto de amnistia"
87,1977-04-02,"dos mil personas recibieron a los militantes de ETA, Bujanda y Montalvo, liberados por el decreto ed amnistia"
88,1977-04-05,nuevas amenazas de bomba de MPAIAC
89,1977-04-05,"protesta multitudinaria en Bilbao reivindicando la ikurrina, la cooficialdad del euskera y la amnistia total"
90,1977-04-05,recibimiento clamoroso a los etarras recientemente amnistiados
91,1977-04-06,la gestora pro amnistia de Guipuzcoa ha promovido una marcha sobre Madrid para pedir la amnistia total
92,1977-04-07,ante la posibilidad de realizar la marcha sobre Madrid pro amnistia total se inician 5 heulgas de hambre en Guipuzcoa
93,1977-04-07,autorizada una manifestacion para la autorizacion de un estatuto para el archipielago convocada por el PSOE
94,1977-04-07,huelga de hambre de presos politicos de Burgos y Basauri en apoyo de la lucha del pueblo vasco por la amnistia total
95,1977-04-10,10 presos de ETA encarcelados en Burgos inician una huegla de hambre en demanda de la amnistia total
96,1977-04-12,la prohibicion del Aberri Eguna provoca manifestaciones en todo el Pais Vasco con diversos lesionados
97,1977-04-13,3 amnistiados de ETA son retenidos por la G.C. acusados de sustraer una bandera espanola
98,1977-04-13,tres amnistiados de ETA son retenidos por la Guardia Civil acusados de sustraer una bandera espanola
99,1977-04-14,"500 personas recibenen la estacion a Mari Luz Fernandez, presunta implicada en el atentado de la calledel Correo"
100,1977-04-14,incidentes entre manifestantes y las fuerzas de orden publico en un acto en Madrid pro libertad de presos politicos
101,1977-04-17,encierro de 30 familias de presos politicos en la parroquia de Maratalaz en pro de la amnistia total
102,1977-04-19,entre los nacionalistas radicales gallegos
103,1977-04-19,incidentes durante la celebracion de la BALLADA de sardanas al ser quemada una bandera espanol
104,1977-04-19,Incidentes en Barcelona durante la celebracion de la ballada de sardanas al ser quemada una bandera espanola
105,1977-04-19,Jesus Arrondo efectua disparos contra un grupo de personas que participaban en un encierro pro amnistia en Guipuzcoa
106,1977-04-20,enfrentamientos entre los nacionalistas radicales gallegos
107,1977-04-21,2 jovenes detenidos por presunto delito de injurias a la bandera nacional
108,1977-04-22,"convacadas por la A.C. concentraciones para reclamar el estatuto, con motivo de la fiesta de Sant Jordi"
109,1977-04-23,comienza en Navarra una campana en favor de  la legalizacion de todos los partidos politicos y de la amnistia total
110,1977-04-24,concentracion pidiendo el estatuto de autonomia
111,1977-04-24,"de mas de 100,000 personas pidiendo el estatuto de autonomia"
112,1977-04-26,manifestaciones en Bilbao en demands de amnistia total
113,1977-04-27,los presos vascos piden a los partidos democraticos el boicoteo de las elecciones hasta que se conceda la amnistia total
114,1977-04-27,"recibimiento masivo en Mondragon del ultimo preso vasco amnistiado, Daniel Ansuategui"
115,1977-04-28,14 organizaciones politicas de Pamplona exigen la legalizacion de todos los partidos y la amnistia total
116,1977-04-29,120 entidades bilbainas interpelan al alcalde para que decida sobre la amnistia y la cooficialdad del euskera
117,1977-04-30,muerto un sargento de la G.C. durante el atraco a la sucursal del Banco Hispanoamericano
118,1977-05-03,nueva semana en Euskadi de presion pro amnistia total
119,1977-05-08,"Euskadi inicia una nueva campana pro amnistia total, con encierros y actos en Vizcaya y Guipuzcoa"
120,1977-05-10,"comienza la semana pro amnistia en Bilbao con mitines, asambleas publicas y manifestaciones"
121,1977-05-10,poiticos y alcaldes vascos viajan a Madrid para pedir la amnistia
122,1977-05-11,convocadas 15 organizaciones politicas y sindicales para la jornada de lucha pro amnistia en el Pais Vasco
123,1977-05-12,ejemplares de los periodicos locales fueron quemados durante la jornada de boicoteo a la Prensa en Vizcaya
124,1977-05-13,1 muerto y 7 heridos de bala por la G.C. en la jornada pro amnistia celebrada en el Pais Vasco
125,1977-05-13,manifestaciones estudiantiles en Vitoria a favor de la amnistia total
126,1977-05-13,"paro simbolico de 15 minutos en el cinturon industrial de Pamplona, a favor de la amnistia total"
127,1977-05-14,"2 muertos en los disturbios registrados en el Pais Vasco, en relacion con la semana de apoyo a la amnistia"
128,1977-05-15,2 nuevos muertos en los enfrentamientos con la G.C. en el Pais Vasco
129,1977-05-15,80 candidatos a las Cortes de Vizcaya piden la amnistia total
130,1977-05-15,"paro generalizado y reunion extraordinaria del Ayuntamiento, debido a los incidentes ocurridos"
131,1977-05-17,"100 familiares se encadenan, en peticion de la amnistia"
132,1977-05-17,celebracion el dia 18 de un funeral por los muertos en el Pais Vasco
133,1977-05-17,"convocada una huelga general el dia 23 en Vizcaya, si no se aprueba la amnistia en el Consejo de Ministros"
134,1977-05-17,graves disturbios en Bilbao al impedir la policia una marcha pro amnistia
135,1977-05-17,incidentes al intentar manifestarse varios grupos de personas en relacion con los incidentes del Pais Vasco
136,1977-05-17,"manifestaciones pacificas sin intervencion policial, tras varios dias de graves incidentes"
137,1977-05-17,violenta manifestacion en Zaragoza coincidiendo con la finalizacion de un encierro pro amnistia
138,1977-05-18,los partidos politicos vascos redactan un manifiesto dirigido al pueblo de Esukadi ante los incidentes ocurridos
139,1977-05-18,numerosas manifestaciones de solidaridad con el pueblo vasco en toda Espana por los incidentes alli hablados
140,1977-05-19,asesinado un agente de la Policia Armada en atentado cometido por dos miembros de ETA
141,1977-05-21,frustrado atentado contra dos policias armados
142,1977-05-21,secuestro del financiero bilbaino Javier de Ybarra
143,1977-05-24,7 presos de ETA inician una huelga de hambre en protesta por el sistema de amnistia
144,1977-05-25,el MPAIAC destruye un monumentoal conquistador de Tenerife
145,1977-05-31,celebrados numerosos mitines politicos el pasado dia 29 en el Pais Vasco
146,1977-06-01,"las comisiones pro amnistia del Pais Vasco preparan nuevas movilizaciones, hasta conseguir la libertad de los presos"
147,1977-06-03,proximo encuentro en Barcelona de ex presos y deportados politicos
148,1977-06-04,"explosion de un artefacto en los comedores de la central nuclear de Lemoniz, destruyendo una de las dos naves del local"
149,1977-06-04,podri iniciarse una nueva semana de la amnistia si no hay excarcelaciones totales
150,1977-06-04,se prepara la Marcha de la Libertad del 2 de julio al 28 de agosto en el Pais Vasco
151,1977-06-06,La Asamblea Popular Galega hace un llamamiento a la unificacionde los nacionalistas gallegos
152,1977-06-07,"ETA politico-militar, posible autora de los 15 atentados, 12 con explosivos, registrados los dias4 y 5 en el Pais Vasco"
153,1977-06-07,huelga de hambre de presos politicos en Barcelona en demanda de amnistia total
154,1977-06-08,se celebra el Dia del Exiliado Vasco en el contexto de la semana pro amnistia
155,1977-06-09,"ETA amenaza con secuestra a un politico frances, si no se libera a Apala"
156,1977-06-09,la explosion de un artefacto en las cercanias de un cuartel de la G.C. se salda con un herido grave
157,1977-06-10,ETA anuncia en llamada al diario La voz de Espana que haba mas muertes de g.c. antes de las legislativas
158,1977-06-10,"herido leve al explotar una bomba puesta en su bar de Tolosa, frecuentado por guardias civiles"
159,1977-06-10,se celebra en Bilbao el Dia del Exiliado
160,1977-06-10,"situacion desesperada de 6 reclusos en huelga de hambre en demanda de amnistia,en el penal de Ocana"
161,1977-06-11,40 jovenes cortan la circulacionen San Sebastian durante la semana pro amnistia
162,1977-06-11,"el MPAIAC reivindica el atentado contra la torreta de alta tension de la central de Ginamar, en Las Palmas"
163,1977-06-11,escaso eco de la semana pro amnistia celebrada en Vizcaya
164,1977-06-11,ETA incendia tres vehiculos en Bilbao en acciones que se inscriben en una campana que ya ha destruido 6 coches en Vizcaya
165,1977-06-11,la Asociacion de Familiares y Amigos de Presos Politicos de Valencia pide a Suarez la amnistia total
166,1977-06-11,los presos de Ocana terminan su huelga de hambre por la gravedad de su estado
167,1977-06-12,Antonio Cubillo anuncia a Le Monde que atacara los intereses espanoles en el extranjero
168,1977-06-12,destruido por una bomba el centro emisor de Radio Popular de Loyola
169,1977-06-12,encierro en la catedra de Barcelona de familiares y amigos de presos politicos en favor de la amnistia total
170,1977-06-12,fuerzas politicas y sindicales del Pais Vasco llaman a la paz ciudadana durante la seman pro amnistia
171,1977-06-14,10 atentados con artefactos explosivos en el P.V. durante la noche del dia 13 y en visperas de las legislativas
172,1977-06-14,agresiones a varios soldados por un grupo de supuesta tendencia separatista
173,1977-06-14,colocacion de varios artefactos explosivos en Las Palmas de Gran Canaria durante el fin de semana
174,1977-06-14,"colocacion de varios artefactos explosivos en Las Palmas durante el fin de semana, atribuida al MPAIAC"
175,1977-06-15,destrozados dos camiones de la Telefonica en Vizcaya como consecuencia de la explosion de un artefacto
176,1977-06-15,el MPAIAC incendia 3 camiones de Pescanova en Madrid
177,1977-06-15,"explosion de dos bombas, ambas colocadas en la via ferrea y que provocaron el corte del trafico de trenes"
178,1977-06-18,anuncio de celebracion de una Marcha por la Libertad en Euskadi reivindicando la amnistia total
179,1977-06-18,contra un ex g.c.
180,1977-06-18,Juan Maria Bandres declara en Brusleas que el pueblo vasco seguira luchando pro el regreso de todos los exiliados
181,1977-06-19,atentado sin victimas contra el coche de un policia armado
182,1977-06-23,familiares de presos inician neuvas gestiones pro amnistia
183,1977-06-24,convocatoria de la Marcha por la Libertad de Euskadi para los dias 2 de julio al 28 de agosto
184,1977-06-26,un g.c. es ametrellado por cuatro desconocidos (herido grave)
185,1977-06-29,ETA continua exigiendo dinero a los industriales vascos
186,1977-07-02,ETA senala que intensificara sus acciones violentas
187,1977-07-06,el MPAIAC reivindica el atentado contra un hotel en Las Palmas
188,1977-07-07,concentracion de 150 personas ante la embajada francesa para protestar por la peticion de extradicion de Apala
189,1977-07-09,se prepara la construccion de un monumento a los caidos del pueblo vasco
190,1977-07-10,Autorizada una manifestacion en Santander para apoyar las ideas de descentralizacion y para pedir un concierto economico
191,1977-07-12,"una reunion de socialistas gallegos, vascos y catalanes pide autonomia, amnistia y legalidad para todos"
192,1977-07-16,elaborado un comunicado por familiares de 8 presos vascos pidiendo amnistia total
193,1977-07-16,elaboradoun comunicado por familias de ocho presos vascos pidiendo amnistia total
194,1977-07-19,los amotinados en la prision de Carabanchel solicitan amnistia y reforma del Codigo Penitenciario
195,1977-07-20,diversas asociaciones y colegios profesionales catalanes piden la aplicacion de una amnistia total
196,1977-07-20,"la familia Ybarra es amenazada de nuevo por ETA, que ahora exige el pago de un impuesto revolucionario"
197,1977-07-21,la familia Ybarra recibe proteccion policial ante las amenazas vertidas por ETA
198,1977-07-22,entusiasta recibimiento al ultimo de los presos vascos liberados en aplicacion de la amnistia
199,1977-07-23,manifestaciones pro amnistia en Barcelona y Madrid
200,1977-07-24,"celebrada una manifestacion recordando el aniversario de la desaparicion de Pertur, dirigente de ETA"
201,1977-07-24,el comite del PSOE de Euskadi urge la autonomia en un comunicado hecho publico
202,1977-07-26,Durante la celebracion del Dia de la Patria Galega se hizo un llamamientoa la unidad de la izquierda
203,1977-07-29,"celebrad una manifestacion pro amn istia en Zaragoza con la asistencia de 10,000 personas"
204,1977-07-30,los comunistas de Euskadi reivindican amnistia total y un Gobierno vasco
205,1977-07-30,los etarras extranados comparecen en un acto publico ante 20.000 personas
206,1977-07-30,organizada una concentracion de la juventudes del partido
207,1977-07-31,"de 15,000 personas en contra de la extradicion de Apala"
208,1977-07-31,manifestacion de 15.000 personas en contra de la extradicion de Apala
209,1977-08-04,desactivado en Las Palmas un artefacto explosivo del MPAIAC
210,1977-08-09,2 militantes del MPAIAC en estado grave tras una huelga de hambre pro amnistia en Las Palmas
211,1977-08-09,la Asociacion de Ex Presos y Represaliados Politicos pide amnistia al presidente de las Cortes
212,1977-08-11,en apoyo de los presos del MPAIAC
213,1977-08-11,manifestacion en Las Palmas en apoyo de los presos del MPAIAC
214,1977-08-13,"30,000 personas se manifiestan por la amnistia y en contra de UCD en Pamplona"
215,1977-08-13,en el segundo aniversario de la muerte del nacionalista gallego Moncho Reboiras
216,1977-08-14,homenaje a los muertos por la libertad de Euskadi
217,1977-08-16,"el PCE (i) convoca una manifestacion para el 11 de septiembre, festividad catalanista"
218,1977-08-18,8 extranados vascos se presentan en publico durante las fiestas en Ondarroa
219,1977-08-18,en memoria del nacionalista gallego Boveda
220,1977-08-20,la policia disuelve una manifestacion en la que se pedia la libertad de Apala y Larena
221,1977-08-21,entre distintos grupos de la izquierda nacionalista gallega
222,1977-08-21,se agrava el estado de salud de Apala tras 3 semanas de huelga de hambre
223,1977-08-23,comunicado publico de ETApm invitando al pueblo vasco a proseguir su solidaridad con Apala
224,1977-08-24,miembros del GRAPO y ETA en huelga en la carcel de Carabanchel en solidaridad con la huelga de hambre de Apala
225,1977-08-25,encontrada una bomba de trilita en el cuartel de la Policia Armada
226,1977-08-25,los organizadores de la Marcha de la Libertad insisten en celebrar la clausura en las afueras de Pamplona
227,1977-08-25,robo de 50 kilos de goma-2 en una cantera
228,1977-08-25,se intensifican en el Pais Vasco las movilizaciones en solidaridad con Apala
229,1977-08-26,"las comisiones gestoras pro amnistia denuncian la acutacion de ""incontrolados"" en las manifestaciones de Guipuzcoa"
230,1977-08-27,los partidos mayoritarios catalanes convocan una manifestacion para la Diada
231,1977-08-28,ETA considera la autonomia como objetivo prioritario para Euskadi
232,1977-08-28,Los partidos minoritarios catalanes convocan una jornada de lucha nacionalista para la proxima Diada
233,1977-08-28,manifestacion pidiendo la libertad de Apala
234,1977-08-28,pidiendo la libertad de Apala
235,1977-08-30,"El diputado del PSOE Jaime Blanco, agredido por la policia en una manifestacion autorizada pro autonomia de Cantabria"
236,1977-08-30,el gobernador civil de Vizcaya autoriza una manifestacion pro amnistia en Bilbao para el 3 de octubre
237,1977-08-30,la policia frustra el intento de terminar la Marcha de la Libertad en Pamplona
238,1977-08-30,marcha motorizada sobre Marsella para pedir la libertad de Apala
239,1977-08-31,el senador Xirinachs convoca en Barcelona una campana popular para pedir la amnistia total
240,1977-08-31,manifestaciones en solidaridad con Apala
241,1977-08-31,oleada de atentados para pedir la liberacion de Apala
242,1977-09-01,prosigue la investigacion sobre el robo de una caja de goma-2 en Gran Canaria
243,1977-09-02,el PNV se suma a la manifestacion pro amnistia en Vizcaya
244,1977-09-02,la coordinadora de grupos independientes catalanes convoca una concentracion en la Diada nacional
245,1977-09-02,movimiento pro amnistia en las Islas Canarias con el objetivo de liberar a los presos del MPAIAC
246,1977-09-02,recibidas 3 falsas alarmasde bomba en Tenerife reivindicadas por el MPAIAC
247,1977-09-03,"manifestacion de 200,000 personas por la amnistia en Bilbao"
248,1977-09-04,la manifestacion pro amnistia de San Sebastian se desarrollo sin incidentes
249,1977-09-04,voladra de una gasolinera
250,1977-09-08,"convocada una manifestacion pro amnistia en San Sebastian por los parlamentarios del PSOE, PNV y UCD"
251,1977-09-10,la comision catalana pro amnistia comienza una campana para lograr la concienciacion popular en la amnistia politica
252,1977-09-13,un millon y medio de personas celebran la Diada en Cataluna
253,1977-09-14,"5,000 personas se manifiestan en Las Palmas a favor de la amnistia"
254,1977-09-14,convocada una manifestacion pro amnistia en Pamplona por el PSOE
255,1977-09-14,ETA atenta contra un parvulario al confundirlo con un local destinado a comisaria de policia
256,1977-09-18,"40,000 personas se manifiestan en Pamplona a favor de la amnistia"
257,1977-09-21,hace explosion un artefacto en el palacio episcopal de La Laguna en Sante Cruz de Tenerife
258,1977-09-22,"funeral por Carlos Frecher, muerto durante la celebracion de la Diada"
259,1977-09-24,"anuncio de la celebracion del Alderdi Eguna, dia del partido"
260,1977-09-25,el MPAIAC se atribuye el atentado en la oficina de turismo del Puerto de la Cruz
261,1977-09-27,diez mil personas asisten a una manifestacion celebrada a favor de la autonomia de Castilla y Leon
262,1977-09-27,en el aniversario de los fusilamientos de cinco miembros de ETA y FRAP en 1975
263,1977-09-28,celebrado el aniversario de los fusilamientos de septiembre de 1975
264,1977-09-29,"sancionados los presos politicos de la prision de San Sebastian, tras celebrar el aniversario de los fusilamientos de 1975"
265,1977-10-01,2 heridos y numerosas detenciones en la manifestacion pro amnistia convocada por la CNT en Madrid
266,1977-10-02,los comandos Bereziak de ETA reivindican el atraco al Banco de Comerciode Sondica
267,1977-10-05,continuan las autolesionesy las huelgas de hambre en las carceles como medida para conseguire una amnistia total
268,1977-10-05,ETA reivindica el atentado del pasado sabado contra Iberduero en las proximidades de la Central Nuclear de Lemoniz
269,1977-10-05,se convoca del 8 al 16 de octubre una nueva semana pro amnistia en Guipuzcoa
270,1977-10-07,112 reclusos de la carcel de Alcala de Henares en huelga de hambre en solicitud de amnistia
271,1977-10-08,sin incidentes en la manifestacion autonomica en conmemoracion del 41 aniversario del Gobierno vasco
272,1977-10-09,asesinato del presidente de la Diputacion de Vizcaya y de dos miembros de su escolta
273,1977-10-09,comienzan los actos de conmemoracion de la Diada valenciana
274,1977-10-11,manifestacion de desagravio por la quema de una bandera espanola
275,1977-10-11,para pedir la autonomia andaluza
276,1977-10-13,carga explosiva contra un repetidor de RTVE
277,1977-10-13,ETAm reivindica la explosion de dos bombas contra instalaciones de la G.C. y la policia
278,1977-10-14,"destruida una fabrica de material antidisturbios, Industrias Irus, por dos artefactos de goma-2"
279,1977-10-14,el conductor de un camion herido grave
280,1977-10-15,comunicado de 11 organizaciones vascas que consideran incompleta la ley de amnistia
281,1977-10-15,La provincia de Pontevedra organiza una manifestacion pro autonomia gallega
282,1977-10-16,fiesta popular en apoyo de la ensenanza en euskera organizada por la Federacion de Ikastolas de Guipuzcoa
283,1977-10-16,"supuesto artefacto explosivo, colocado en un repetidor de television, desactivado"
284,1977-10-18,"15,000 personas en una manifestacion a favor de las ikastolas"
285,1977-10-18,acto politico organizado por el PNV para conmemorar por primer vez el dia del gudari
286,1977-10-18,g.c. herido al recibir un disparo desde un automovil
287,1977-10-25,escasa participacion popular en el Dia del exiliado celebrado
288,1977-10-25,Manifiesto de 32 alcaldes de Navarra en reivindicacion del caracter vasco de la provincia
289,1977-10-29,el MPAIAC reivindica el atentado de pasado dia 26 contra un monumento de Franco
290,1977-10-30,celebracion de la Diada balear
291,1977-11-01,el MPAIAC reivindica un atentado con bomba contra unos grandes almancenes de Las Palmas
292,1977-11-01,heridos tres policias al hacer explosion un artefacto en la Academia de la Policia Armada
293,1977-11-01,los presos de las carceles de Bilbao y Barcelona protagonizan graves disturbios en peticion de amnistia
294,1977-11-02,el MPAIAC inicia una ola de atentados en las Islas Canarias en el aniversario de su creacion
295,1977-11-03,asesinado un sargento de la policia municipal por 3 desconocidos que le dispararon a bocajarro
296,1977-11-13,enfrentamientos entre la policia y grupos de manifestantes durante una manifestacion abertzale
297,1977-11-13,tres heridos en el atentado contra un coche de la P.A. 
298,1977-11-20,celebrada en San Sebastian una manifestacion por la libertad de Aldanondo
299,1977-11-20,celebrada una manifestacion por la libertad del etarra Aldanondo
300,1977-11-20,por la libertad de Aldanondo
301,1977-11-22,ametrellado el cuartel de la g.c. 
302,1977-11-24,el MPAIAC reivindica un atentado con bomba en Tenerife que causo un herido
303,1977-11-25,atentado contra un edificio colindante a un cuartel de la g.c.
304,1977-11-25,ETA amenaza a los parlamentarios vascos por considerarles complices de la dictadura espanola en Euskadi
305,1977-11-27,asesinado a tiros el comandante de la P.A.
306,1977-11-29,6 manifestaciones y dos encierros en el Pais Vasco en favor de la libertad del miembro de ETA Aldanondo
307,1977-12-03,expectacion ante la manifestacion de hoy contra la integracion en Euskadi
308,1977-12-04,en Galicia para impulsar su movimiento autonomico
309,1977-12-04,manifestacion a favor de la libertad del ultimo preso politico vasco
310,1977-12-04,manifestacion en San Sebastian a favor de la libertad del ultimo preso politico vasco
311,1977-12-04,Manifestaciones en Galicia para impulsar su movimiento autonomico
312,1977-12-04,manifestaciones multitudinarias en Andalucia para impulsar su movimiento autonomico
313,1977-12-04,para impulsar su movimiento autonomico
314,1977-12-06,atentado a la empresa de estudios nucleares Sener
315,1977-12-06,por la muerte de Jose Manuel Garcia durante la manifestacion a favor de la autonomia
316,1977-12-07,el PNV amenaza con organizar movilizaciones con el proposito de acelerar el proceso autonomico de Euskadi
317,1977-12-17,asesinado el concejal Julio Martinez
318,1977-12-20,atentado frustrado a la central nuclear de Lemoniz
319,1977-12-20,confirmada la voladura de una estacion de radio en Tenerife a cargo de un comando del MPAIAC
320,1977-12-22,explosion de un artefacto en un hotel de Tenerife 
