"","country","year","Wbcode","region","oecd","guerilla","overall.conflict","riots","strikes","demos","assassinations","internet","computers","radios","tvs","newspapers","mdi","landlines","mobiles"
"33650","Abyssinia",1921,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33615","Abyssinia",1922,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33594","Abyssinia",1923,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33524","Abyssinia",1924,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33601","Abyssinia",1925,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33573","Abyssinia",1926,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33433","Abyssinia",1927,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33419","Abyssinia",1928,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33510","Abyssinia",1929,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33461","Abyssinia",1930,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33363","Abyssinia",1931,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33132","Abyssinia",1932,"ETH","Sub-Saharan Africa ","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33034","Abyssinia",1933,"ETH","Sub-Saharan Africa ","Non-OECD",0,250,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33076","Abyssinia",1934,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33216","Abyssinia",1935,"ETH","Sub-Saharan Africa ","Non-OECD",0,250,0,1,0,0,NA,NA,NA,NA,NA,NA,1e-05,NA
"2587","Afghanistan",1919,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2818","Afghanistan",1920,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2825","Afghanistan",1921,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2748","Afghanistan",1922,"AFG","South Asia","Non-OECD",1,1250,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2713","Afghanistan",1923,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2552","Afghanistan",1924,"AFG","South Asia","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2650","Afghanistan",1925,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2377","Afghanistan",1926,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2538","Afghanistan",1927,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2370","Afghanistan",1928,"AFG","South Asia","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2454","Afghanistan",1929,"AFG","South Asia","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2629","Afghanistan",1930,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2440","Afghanistan",1931,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2349","Afghanistan",1932,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2258","Afghanistan",1933,"AFG","South Asia","Non-OECD",0,625,0,0,0,2,NA,NA,NA,NA,0,NA,NA,NA
"2272","Afghanistan",1934,"AFG","South Asia","Non-OECD",0,312,0,0,0,1,NA,NA,NA,NA,0,NA,NA,NA
"2447","Afghanistan",1935,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2328","Afghanistan",1936,"AFG","South Asia","Non-OECD",0,250,0,1,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2265","Afghanistan",1937,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2286","Afghanistan",1938,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2300","Afghanistan",1939,"AFG","South Asia","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
"2412","Afghanistan",1946,"AFG","South Asia","Non-OECD",0,250,0,0,0,0,NA,NA,4e-04,NA,0,NA,0.00025,NA
"2321","Afghanistan",1947,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,5e-04,NA,0,NA,0.00027,NA
"2335","Afghanistan",1948,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,5e-04,NA,0,NA,3e-04,NA
"2475","Afghanistan",1949,"AFG","South Asia","Non-OECD",0,250,0,0,0,0,NA,NA,5e-04,NA,0,NA,0.00032,NA
"2356","Afghanistan",1950,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,6e-04,NA,0,NA,0.00034,NA
"2496","Afghanistan",1951,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,6e-04,NA,5e-04,NA,0.00036,NA
"2503","Afghanistan",1952,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,7e-04,NA,0.001,NA,0.00045,NA
"2664","Afghanistan",1953,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,7e-04,NA,0.0015,NA,0.00046,NA
"2601","Afghanistan",1954,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,7e-04,NA,0.002,NA,0.00047,NA
"2517","Afghanistan",1955,"AFG","South Asia","Non-OECD",0,312,1,0,0,0,NA,NA,8e-04,NA,0.0025,NA,0.00046,NA
"2433","Afghanistan",1956,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,9e-04,NA,0.003,NA,0.00048,NA
"2559","Afghanistan",1957,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0011,NA,0.0035,NA,5e-04,NA
"2573","Afghanistan",1958,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0013,NA,0.004,NA,0.00053,NA
"2391","Afghanistan",1959,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0015,NA,0.0045,NA,0.00055,NA
"2489","Afghanistan",1960,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0018,NA,0.005,NA,0.00057,NA
"2398","Afghanistan",1961,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0021,NA,0.0051,NA,0.00061,NA
"2594","Afghanistan",1962,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0025,NA,0.0053,NA,0.00064,NA
"2699","Afghanistan",1963,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.003,NA,0.0054,NA,0.00067,NA
"2678","Afghanistan",1964,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0034,NA,0.0056,NA,0.00063,NA
"2524","Afghanistan",1965,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0038,NA,0.0058,NA,0.00064,NA
"2853","Afghanistan",1966,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0042,NA,0.006,NA,0.00067,NA
"2692","Afghanistan",1967,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0045,NA,0.007,NA,0.00069,NA
"2279","Afghanistan",1968,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0049,NA,0.0066,NA,7e-04,NA
"2251","Afghanistan",1969,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0052,NA,0.0063,NA,0.00094,NA
"2307","Afghanistan",1970,"AFG","South Asia","Non-OECD",0,375,0,0,1,0,NA,NA,0.0056,NA,0.006,NA,0.00119,NA
"2426","Afghanistan",1971,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.006,NA,0.0057,NA,0.00143,NA
"2342","Afghanistan",1972,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0063,NA,0.0054,NA,0.00146,NA
"2636","Afghanistan",1973,"AFG","South Asia","Non-OECD",0,1875,0,0,0,0,NA,NA,0.0067,NA,0.0051,NA,0.00149,NA
"2419","Afghanistan",1974,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.007,NA,0.0048,NA,0.00153,NA
"2531","Afghanistan",1975,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0073,NA,0.0045,NA,0.00152,NA
"2545","Afghanistan",1976,"AFG","South Asia","Non-OECD",0,0,0,0,0,0,NA,NA,0.0075,NA,0.0042,NA,0.00151,NA
"2468","Afghanistan",1977,"AFG","South Asia","Non-OECD",0,312,0,0,0,1,NA,NA,0.0077,NA,0.004,NA,0.00151,NA
"2482","Afghanistan",1978,"AFG","South Asia","Non-OECD",1,3375,0,0,0,0,NA,NA,0.008,0.00038,0.0046,0.432666666666667,0.00151,NA
"2580","Afghanistan",1979,"AFG","South Asia","Non-OECD",1,6625,0,0,0,2,NA,NA,0.0081,0.00064,0.0052,0.464666666666667,0.00151,NA
"2384","Afghanistan",1980,"AFG","South Asia","Non-OECD",1,4562,1,2,0,2,NA,NA,0.0082,0.00069,0.006,0.496333333333333,0.00149,NA
"2755","Afghanistan",1981,"AFG","South Asia","Non-OECD",1,3750,2,0,0,0,NA,NA,0.0081,0.00071,0.0064,0.507,0.00153,NA
"2762","Afghanistan",1982,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.0082,0.00073,0.0067,0.521,0.00157,NA
"2769","Afghanistan",1983,"AFG","South Asia","Non-OECD",1,3437,0,0,0,1,NA,NA,0.0122,0.00126,0.0071,0.685333333333333,0.00162,NA
"2608","Afghanistan",1984,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.0182,0.00219,0.0076,0.933,0.00166,NA
"2615","Afghanistan",1985,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.027,0.00379,0.008,1.293,0.0017,NA
"2622","Afghanistan",1986,"AFG","South Asia","Non-OECD",1,3375,0,0,2,0,NA,NA,0.0401,0.00657,0.0087,1.84566666666667,0.00175,NA
"2643","Afghanistan",1987,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.0595,0.00673,0.0094,2.521,0.0018,NA
"2741","Afghanistan",1988,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.0883,0.0069,0.0102,3.51333333333333,0.00185,NA
"2727","Afghanistan",1989,"AFG","South Asia","Non-OECD",1,3375,0,0,0,0,NA,NA,0.0901,0.0071,0.0111,3.61,0.0019,NA
"2461","Afghanistan",1990,"AFG","South Asia","Non-OECD",1,5250,0,0,0,0,NA,NA,0.0918,0.00731,0.012,3.70366666666667,0.00192,NA
"2657","Afghanistan",1991,"AFG","South Asia","Non-OECD",1,3437,0,0,0,1,NA,NA,0.0965,0.00777,0.0116,3.86233333333333,0.00194,NA
"2734","Afghanistan",1992,"AFG","South Asia","Non-OECD",1,5500,0,0,0,0,NA,NA,0.1,0.00809,0.0112,3.97633333333333,0.00177,NA
"2671","Afghanistan",1993,"AFG","South Asia","Non-OECD",2,4625,0,0,0,0,NA,NA,0.1066,0.00873,0.0108,4.20433333333333,0.00166,NA
"2685","Afghanistan",1994,"AFG","South Asia","Non-OECD",1,3375,0,0,0,0,NA,NA,0.112,0.00923,0.0104,4.38766666666667,0.00153,NA
"2867","Afghanistan",1995,"AFG","South Asia","Non-OECD",1,5250,0,0,0,0,NA,NA,0.1177,0.00981,0.01,4.58366666666667,0.00142,NA
"2811","Afghanistan",1996,"AFG","South Asia","Non-OECD",1,5000,0,0,0,0,NA,NA,0.123,0.01206,0.0096,4.822,0.00142,NA
"2860","Afghanistan",1997,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.1304,0.01281,0.0093,5.08366666666667,0.00142,NA
"2797","Afghanistan",1998,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.1385,0.01353,0.009,5.36766666666667,0.00143,NA
"2839","Afghanistan",1999,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,0.1468,0.01422,0.0087,5.65733333333333,0.00143,NA
"2804","Afghanistan",2000,"AFG","South Asia","Non-OECD",1,3125,0,0,0,0,NA,NA,NA,NA,NA,NA,0.00143,0
"2846","Afghanistan",2001,"AFG","South Asia","Non-OECD",1,3687,0,0,0,1,4.4e-05,NA,NA,NA,NA,NA,0.00143,7e-05
"2832","Afghanistan",2002,"AFG","South Asia","Non-OECD",2,5687,0,0,1,3,4.4e-05,NA,NA,NA,NA,NA,0.00143,0.00052
"2783","Afghanistan",2003,"AFG","South Asia","Non-OECD",2,6812,0,0,0,1,0.000858,NA,NA,NA,NA,NA,0.00169,0.00364
"2706","Afghanistan",2004,"AFG","South Asia","Non-OECD",2,7625,1,0,1,3,0.001054,NA,NA,NA,NA,NA,0.00199,0.02529
"2790","Afghanistan",2005,"AFG","South Asia","Non-OECD",1,4437,1,0,3,2,0.012437,0.0035,NA,NA,NA,NA,0.00234,0.04974
"2776","Afghanistan",2006,"AFG","South Asia","Non-OECD",1,4062,1,0,0,2,0.021808,0.0041,NA,NA,NA,NA,0.00276,0.10273
"2720","Afghanistan",2007,"AFG","South Asia","Non-OECD",1,3812,0,0,1,1,0.02004,NA,NA,NA,NA,NA,0.00325,0.18709
"2566","Afghanistan",2008,"AFG","South Asia","Non-OECD",1,3562,0,0,1,1,0.019704,NA,NA,NA,NA,NA,0.00398,0.31128
"2363","Afghanistan",2009,"AFG","South Asia","Non-OECD",1,3812,0,0,1,1,0.038629,NA,NA,NA,NA,NA,0.00498,0.4056
"2314","Afghanistan",2010,"AFG","South Asia","Non-OECD",1,3687,0,0,0,1,0.043012,NA,NA,NA,NA,NA,0.0053,0.49225
"2293","Afghanistan",2011,"AFG","South Asia","Non-OECD",1,57,0,0,1,7,0.053828,NA,NA,NA,NA,NA,NA,0.64943
"2405","Afghanistan",2012,"AFG","South Asia","Non-OECD",5,9125,2,1,1,6,0.059354,NA,NA,NA,NA,NA,NA,NA
"2510","Afghanistan",2013,"AFG","South Asia","Non-OECD",30,39188,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"3350","Albania",1919,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3448","Albania",1920,"ALB","Europe & Central Asia ","Non-OECD",0,312,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"3553","Albania",1921,"ALB","Europe & Central Asia ","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3469","Albania",1922,"ALB","Europe & Central Asia ","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3378","Albania",1923,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3483","Albania",1924,"ALB","Europe & Central Asia ","Non-OECD",1,5437,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"3588","Albania",1925,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3413","Albania",1926,"ALB","Europe & Central Asia ","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3371","Albania",1927,"ALB","Europe & Central Asia ","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3385","Albania",1928,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3490","Albania",1929,"ALB","Europe & Central Asia ","Non-OECD",0,500,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3420","Albania",1930,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3224","Albania",1931,"ALB","Europe & Central Asia ","Non-OECD",0,312,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"3182","Albania",1932,"ALB","Europe & Central Asia ","Non-OECD",0,250,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3315","Albania",1933,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3245","Albania",1934,"ALB","Europe & Central Asia ","Non-OECD",1,1250,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3427","Albania",1935,"ALB","Europe & Central Asia ","Non-OECD",0,2187,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"3623","Albania",1936,"ALB","Europe & Central Asia ","Non-OECD",0,250,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3630","Albania",1937,"ALB","Europe & Central Asia ","Non-OECD",0,2125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3441","Albania",1938,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3637","Albania",1939,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"3658","Albania",1946,"ALB","Europe & Central Asia ","Non-OECD",0,250,0,0,0,0,NA,NA,0.0044,NA,0.0374,NA,0.00053,NA
"3728","Albania",1947,"ALB","Europe & Central Asia ","Non-OECD",0,250,0,0,0,0,NA,NA,0.0051,NA,0.038,NA,0.00069,NA
"3574","Albania",1948,"ALB","Europe & Central Asia ","Non-OECD",0,500,0,0,0,0,NA,NA,0.0059,NA,0.0387,NA,0.00076,NA
"3504","Albania",1949,"ALB","Europe & Central Asia ","Non-OECD",0,500,0,0,0,0,NA,NA,0.0066,NA,0.0393,NA,0.00091,NA
"3511","Albania",1950,"ALB","Europe & Central Asia ","Non-OECD",0,562,0,0,0,1,NA,NA,0.0073,NA,0.04,NA,0.00098,NA
"3231","Albania",1951,"ALB","Europe & Central Asia ","Non-OECD",0,2625,0,0,0,0,NA,NA,0.008,NA,0.0406,NA,0.00112,NA
"3329","Albania",1952,"ALB","Europe & Central Asia ","Non-OECD",0,500,0,0,0,0,NA,NA,0.0086,NA,0.0412,NA,0.00118,NA
"3616","Albania",1953,"ALB","Europe & Central Asia ","Non-OECD",1,1500,0,0,0,0,NA,NA,0.0092,NA,0.0419,NA,0.0013,NA
"3763","Albania",1954,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0126,NA,0.0425,NA,0.00133,NA
"3693","Albania",1955,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0158,NA,0.0431,NA,0.00143,NA
"3700","Albania",1956,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.019,NA,0.0438,NA,0.0019,NA
"3742","Albania",1957,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0218,NA,0.0444,NA,0.00232,NA
"3721","Albania",1958,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0245,NA,0.045,NA,0.00272,NA
"3749","Albania",1959,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0276,NA,0.0457,NA,0.00308,NA
"3756","Albania",1960,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0336,NA,0.0463,NA,0.00342,NA
"3595","Albania",1961,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0361,NA,0.047,NA,0.00421,NA
"3602","Albania",1962,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0379,NA,0.0466,NA,0.00502,NA
"3322","Albania",1963,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0397,NA,0.0462,NA,0.00578,NA
"3336","Albania",1964,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0418,0.00055,0.0458,2.93833333333333,0.0065,NA
"3399","Albania",1965,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0697,0.00063,0.0454,3.85766666666667,0.00713,NA
"3301","Albania",1966,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0679,0.00071,0.045,3.787,0.00778,NA
"3238","Albania",1967,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0687,0.00078,0.053,4.08266666666667,0.00839,NA
"3203","Albania",1968,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0742,0.00085,0.052,4.235,0.00891,NA
"3294","Albania",1969,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0771,0.00092,0.051,4.30066666666667,0.00944,NA
"3287","Albania",1970,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0742,0.00096,0.052,4.23866666666667,0.00973,NA
"3252","Albania",1971,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0776,0.0011,0.047,4.19,0.01036,NA
"3217","Albania",1972,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0762,0.00121,0.05,4.247,0.01077,NA
"3308","Albania",1973,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.074,0.0013,0.049,4.14333333333333,0.0111,NA
"3455","Albania",1974,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.072,0.00139,0.048,4.04633333333333,0.01134,NA
"3196","Albania",1975,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0713,0.00148,0.047,3.99266666666667,0.01164,NA
"3147","Albania",1976,"ALB","Europe & Central Asia ","Non-OECD",0,250,0,0,0,0,NA,NA,0.0706,0.00156,0.0487,4.02866666666667,0.01197,NA
"3266","Albania",1977,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.078,0.00175,0.0504,4.33833333333333,0.01249,NA
"3434","Albania",1978,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0869,0.00194,0.0522,4.70133333333333,0.01303,NA
"3161","Albania",1979,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.0968,0.00333,0.054,5.13766666666667,0.01354,NA
"3273","Albania",1980,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1062,0.00565,0.054,5.52833333333333,0.01345,NA
"3343","Albania",1981,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1162,0.00958,0.0523,5.936,0.01337,NA
"3259","Albania",1982,"ALB","Europe & Central Asia ","Non-OECD",0,250,0,0,0,0,NA,NA,0.1273,0.01625,0.0506,6.47166666666667,0.01331,NA
"3357","Albania",1983,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1397,0.02755,0.049,7.20833333333333,0.01322,NA
"3462","Albania",1984,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1532,0.0467,0.0475,8.24666666666667,0.01313,NA
"3175","Albania",1985,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1682,0.07915,0.046,9.77833333333333,0.01306,NA
"3525","Albania",1986,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1697,0.08051,0.0452,9.847,0.01296,NA
"3532","Albania",1987,"ALB","Europe & Central Asia ","Non-OECD",0,0,0,0,0,0,NA,NA,0.1709,0.08189,0.0444,9.90633333333333,0.0129,NA
